example_id,dataset_type,response,accuracy,g_nll,average_nll,perplexity,avg_token_probability,sequence_length
dpql_3081--77/77_636065.txt#0_2,long,donald trump,1.0,0.08662388087395811,0.02165597021848953,1.0218921626522732,0.9787909927862137,4
qw_11987--33/33_444596.txt#0_0,long,puerto rico,1.0,0.06864210916683078,0.022880703055610258,1.023144474256906,0.9774606956606157,3
odql_13428--179/179_2328241.txt#0_2,long,roumania,0.0,8.392784561379813,2.797594853793271,16.405142517091328,0.6482028842023148,3
wh_252--162/162_2659147.txt#0_1,long,the battle of the Somme,1.0,1.6501972748155822,0.23574246783079747,1.2658482715347141,0.856026242612358,7
qz_3971--21/21_196365.txt#0_0,long,michelle ryan,1.0,0.0873784784507663,0.01747569569015326,1.0176292890726522,0.9828065472898173,5
qg_762--191/191_2525665.txt#0_2,long,adam's apple,0.0,0.15133707982022315,0.03783426995505579,1.0385590981689283,0.9638591940312548,4
qb_2537--177/177_336227.txt#0_1,long,transfusion,0.0,0.11745710531249642,0.03915236843749881,1.039928923924451,0.9623723804322443,3
tc_2182--78/78_65006.txt#0_0,long,pope,0.0,2.3268776908516884,1.1634388454258442,3.2009218467404983,0.4987053513873002,2
sfq_14528--95/95_493438.txt#0_0,long,the duchess of alba,0.0,4.01991708483547,0.5024896356044337,1.6528310997429827,0.7004723220627445,8
bb_8426--98/98_1020444.txt#0_1,long,goat,1.0,0.12255712412297726,0.06127856206148863,1.0631950387425038,0.9412040328378284,2
odql_9757--12/12_139633.txt#0_2,long,goliath frog,1.0,0.8155991530729807,0.16311983061459615,1.1771777431694885,0.8846562109218622,5
bb_4945--Germany.txt#0_0,long,bundesliga,0.0,0.9000746191013604,0.2250186547753401,1.2523460782086941,0.834265261322413,4
qz_5999--134/134_385487.txt#0_0,long,stans getz,0.0,1.9657845869360244,0.3931569173872049,1.4816508678717608,0.7486154861532726,5
qf_944--160/160_2466400.txt#0_1,long,basketball,1.0,0.02377992309629917,0.011889961548149586,1.0119609281253443,0.9882157114957322,2
dpql_127--7/7_554431.txt#0_1,long,melrose,1.0,0.9915516723121982,0.3305172241040661,1.3916877567963262,0.781275110850101,3
odql_5884--11/11_405432.txt#0_0,long,the indian ocean,0.0,2.4954110415419564,0.6238527603854891,1.866103860644298,0.7246304602262897,4
qz_1794--3/3_142632.txt#0_1,long,sunday post,1.0,0.15500127582345158,0.051667091941150524,1.0530251236048538,0.9508466035659541,3
qb_6369--37/37_442927.txt#0_0,long,bosworth field,0.0,1.0075675073967432,0.2518918768491858,1.2864569339877432,0.8150389302608463,4
odql_6714--124/124_3212527.txt#0_0,long,oasis,1.0,0.13890857249498367,0.06945428624749184,1.0719230584593276,0.9330987253392821,2
bb_4857--20/20_940277.txt#0_1,long,barbator,0.0,1.4080279096961021,0.35200697742402554,1.4219184450118854,0.7327813232440749,4
odql_11176--12/12_2284937.txt#0_0,long,bcc,1.0,0.08561008737888187,0.028536695792960625,1.0289477681960206,0.9722393396948036,3
bt_3472--182/182_791380.txt#0_1,long,snow,1.0,1.0406494960188866,0.5203247480094433,1.6825739735339422,0.6537225548399073,2
qw_15697--74/74_1333011.txt#0_0,long,"peter gabriel, daryl hall and john oates, kiss, nirvana, linda ronstadt, cat stevens",0.0,4.074766169609944,0.15091726554110904,1.1629004421628628,0.9015693382289937,27
tb_1169--191/191_2063376.txt#0_2,long,luxor,1.0,0.1048803515700456,0.034960117190015204,1.035578406199198,0.9661964356712046,3
qw_11463--117/117_93387.txt#0_0,long,moon,1.0,0.06079251691699028,0.03039625845849514,1.0308629411907577,0.9700664900801477,2
wh_2955--50/50_794801.txt#0_0,long,ireland,0.0,0.9834012500805329,0.32780041669351095,1.3879119405906621,0.7847145398981988,3
qg_4089--181/181_2265370.txt#0_2,long,washington,1.0,0.06424863077700138,0.03212431538850069,1.0326458710986806,0.9686687497809622,2
bb_5497--152/152_643813.txt#0_2,long,portugal,1.0,0.040961019164569734,0.013653673054856577,1.0137473101267909,0.9865904002777155,3
sfq_17967--123/123_103337.txt#0_0,long,charles atlas,0.0,0.02166018928073754,0.005415047320184385,1.0054297351887909,0.9946153511515737,4
bb_3805--121/121_2943039.txt#0_2,long,coconut shy,0.0,0.037261299788951874,0.018630649894475937,1.0188052832775105,0.9815468638957195,2
sfq_6274--62/62_943590.txt#0_0,long,botticelli,0.0,0.3717956565769782,0.09294891414424455,1.097405671928211,0.9202501963489862,4
sfq_7181--189/189_1916422.txt#0_1,long,sternum,0.0,0.0247028417797992,0.0082342805932664,1.0082682755255858,0.9918307215018926,3
qg_488--37/37_82446.txt#0_0,long,galileo galilei,1.0,0.30259175894752843,0.05043195982458807,1.0517253013464964,0.9526588668081698,6
qf_1931--68/68_2482724.txt#0_0,long,midnight cowboy,1.0,0.05147836962714791,0.01715945654238264,1.017307525733293,0.9831204791205855,3
qf_1696--66/66_26750.txt#0_0,long,tanzania,1.0,0.18028374754760534,0.045070936886901336,1.0461020645006012,0.9576090819075278,4
qb_1494--24/24_306802.txt#0_1,long,sheffield,1.0,0.06694515596609563,0.022315051988698542,1.0225658951458105,0.9782414769292398,3
qb_5390--56/56_2628509.txt#0_1,long,malvinas,0.0,0.09486423537327937,0.031621411791093124,1.0321266803376503,0.9698284924132691,3
qw_661--149/149_1063026.txt#0_1,long,france,1.0,0.040536108426749706,0.020268054213374853,1.0204748459500106,0.9800368750053207,2
qb_8182--60/60_558286.txt#0_0,long,smell,1.0,0.07216048985719681,0.036080244928598404,1.0367390362030382,0.9647060321610215,2
sfq_14324--47/47_1545305.txt#0_1,long,audi,1.0,0.04679122846573591,0.023395614232867956,1.0236714384408816,0.976907689661184,2
bt_4353--105/105_2445487.txt#0_0,long,sheryl crow,1.0,0.08565488667227328,0.02141372166806832,1.0216446407393065,0.9793555445008504,4
tc_2257--150/150_49392.txt#0_0,long,december,1.0,0.5345972049981356,0.2672986024990678,1.3064304915031457,0.7890566604485184,2
sfq_20420--125/125_1922602.txt#0_1,long,wisconsin,1.0,0.043904806134378305,0.014634935378126102,1.0147425503835596,0.9855915543369177,3
bt_4479--28/28_2447641.txt#0,long,the press gang,0.0,0.7831823292362969,0.19579558230907423,1.2162782511289039,0.8417072625043197,4
qb_3147--114/114_354667.txt#0_2,long,the gondoliers,1.0,0.6037575870732326,0.10062626451220542,1.1058632641748274,0.9131726097940133,6
qb_388--149/149_18617.txt#0_2,long,billie jean king,0.0,1.0202559281569847,0.20405118563139696,1.2263609239079352,0.8565656673359129,5
qz_3777--128/128_191983.txt#0_2,long,vienna,1.0,0.4239519193797605,0.14131730645992016,1.1517900604344604,0.8800192585247416,3
qw_1816--138/138_1086182.txt#0_2,long,paul gauguin,1.0,0.09084318886709752,0.018168637773419503,1.0183346916055391,0.9821878020396232,5
qb_6828--25/25_2632281.txt#0_0,long,young,0.0,0.6703283786773682,0.3351641893386841,1.3981699309738034,0.7210547940049774,2
sfq_24386--33/33_2007786.txt#0_2,long,squeeze,1.0,6.246371776796877e-05,6.246371776796877e-05,1.0000624656686665,0.9999375382330494,1
qb_3702--159/159_370045.txt#0_0,long,smoking,0.0,2.1674200892448425,1.0837100446224213,2.955624734603856,0.5251677745104071,2
sfq_13345--191/191_1767828.txt#0_0,long,mir,1.0,0.06821347400546074,0.03410673700273037,1.0346950410817222,0.9664828055611335,2
qw_12886--79/79_2977981.txt#0_1,long,lisieux,1.0,0.07949973083577788,0.026499910278592626,1.026854155130878,0.9742315503680476,3
qf_2195--13/13_325145.txt#0_0,long,andre agassi,1.0,0.05537482908493985,0.013843707271234962,1.0139399751083662,0.9863223417278342,4
bb_5330--140/140_950316.txt#0_1,long,the red sea,1.0,1.521061995314085,0.507020665104695,1.6603371183690945,0.7361303356134602,3
dpql_3467--85/85_645957.txt#0_1,long,willie nelson,1.0,0.3343161977057889,0.06686323954115778,1.0691492508336542,0.9388342128276299,5
odql_3325--52/52_2810331.txt#0_2,long,Carlisle,1.0,0.42592672933096765,0.14197557644365588,1.1525484988600476,0.8809234236618101,3
jp_1076--114/114_1377217.txt#0_1,long,maine,1.0,0.06538867758354172,0.021796225861180574,1.0220354988459268,0.9786962318954581,3
bt_1706--93/93_2394404.txt#0_0,long,zip,0.0,2.9671870470046997,1.4835935235023499,4.408760232430639,0.5037783695062154,2
tc_635--8/8_16499.txt#0_0,long,peru,1.0,0.12465861067175865,0.062329305335879326,1.0643127709007647,0.93986581886781,2
qg_1526--104/104_341553.txt#0_2,long,mercury,1.0,0.035613634856417775,0.017806817428208888,1.0179663040449587,0.9825023756311388,2
bb_6324--63/63_972094.txt#0_0,long,zambia,1.0,0.08735266739677172,0.029117555798923906,1.0295456164190426,0.971517381544308,3
sfq_22542--154/154_1968503.txt#0_0,long,daewoo,1.0,0.42002440672376906,0.10500610168094227,1.110717387578145,0.9108246260382874,4
odql_3105--120/120_2809792.txt#0_0,long,enid blyton,0.0,0.10843168198994135,0.02168633639798827,1.0219231940842632,0.9790907315685772,5
sfq_6987--15/15_2753573.txt#0_0,long,photography,0.0,0.027675965800881386,0.013837982900440693,1.013934170956598,0.9863361951587376,2
qb_8861--190/190_510847.txt#0_0,long,litai,0.0,1.0074345022439957,0.33581150074799854,1.3990752753105298,0.7481392552511531,3
qf_1783--27/27_359862.txt#0_1,long,heather stanning,1.0,0.3048586960542252,0.06097173921084505,1.0628688762495384,0.9464562376728779,5
sfq_8966--137/137_1670959.txt#0_2,long,mussolini,1.0,0.2806701092631556,0.09355670308771853,1.098072865698074,0.9140196535254438,3
sfq_22266--109/109_693915.txt#0_1,long,carry on cleo,1.0,0.26201385410968214,0.05240277082193643,1.0538000969800467,0.9510904129475032,5
qb_1502--134/134_2618044.txt#0_0,long,bats,1.0,0.0518085528165102,0.0259042764082551,1.0262427081335335,0.9744402695336484,2
qw_4625--182/182_2700800.txt#0_0,long,aqueous humor,1.0,0.7663437845162662,0.19158594612906654,1.2111689239474868,0.8634258625223215,4
bb_476--74/74_94569.txt#0_0,long,July 1969,0.0,5.594741641223095,1.118948328244619,3.0616326769840736,0.6184476284146256,5
qz_2001--6/6_147605.txt#0_1,long,pablo neruda,1.0,0.05898252357292222,0.011796504714584443,1.0118663578804967,0.9883251261683895,5
qb_5694--135/135_424629.txt#0_0,long,queen,1.0,0.265899864025414,0.132949932012707,1.1421928096041665,0.881614861627795,2
odql_206--73/73_813141.txt#0_1,long,neptune,1.0,0.40309106302447617,0.1343636876748254,1.1438087331473585,0.8843180305297184,3
bt_3256--60/60_2424928.txt#0_1,long,patent flour,1.0,0.5054150756914169,0.16847169189713895,1.183494723880279,0.8606259432398877,3
qw_10365--192/192_1229944.txt#0_0,long,old trafford,1.0,0.8466367590162918,0.21165918975407294,1.2357266649959249,0.8466917517381192,4
